CustomerID,Name,Phone_Number,Visited,
79280,Kylan Conner,(692) 602-4946,7,
26426,Broderick Weber,(301) 430-8844,8,
19914,Slade Petty,(824) 263-3261,2,
32170,Madison Galvan,(423) 707-3463,6,
27190,Adolfo Watkins,(363) 762-0775,0,
83871,Caitlyn Scott,(610) 233-6717,2,
27568,Maxim Peterson,(507) 810-4009,6,
93442,Rolando Rocha,(503) 589-3140,9,
21055,Annalise Moody,(836) 360-2781,1,
09563,Brendon Kaufman,(536) 845-1509,6,
73141,Kimberly Norris,(383) 772-2477,1,
34455,Amari Lane,(455) 416-7448,8,
67776,Sonia Conrad,(963) 449-3156,2,
01133,Delaney Cardenas,(880) 259-3964,8,
56279,Karlie Dillon,(756) 947-3005,0,
96109,Bridger Acosta,(414) 424-2664,5,
97636,Maya Russell,(524) 902-5285,9,
71592,Arturo Walter,(734) 987-0091,7,
17969,Maci Chase,(809) 877-8653,0,
68907,Aryana Reed,(404) 289-0414,7,
05329,Wendy Stuart,(700) 299-6393,7,
84225,Wilson Barnett,(478) 946-3518,9,
27156,Hassan Garrison,(763) 486-4416,0,
35199,Taylor Kemp,(915) 935-6475,7,
66221,Alexander Trevino,(866) 568-9187,6,
41323,Kamila Zhang,(507) 211-9180,9,
05701,Kaylie Villanueva,(471) 779-3224,5,
01485,Javier Stein,(304) 927-8021,7,
14124,Derrick Scott,(668) 617-8563,4,
64677,Liberty Collins,(375) 479-6518,4,
24458,Jaliyah Short,(827) 555-3010,1,
25607,Aspen Hester,(972) 757-7128,9,
96844,Lexi Vang,(540) 741-7946,3,
41308,Ahmed Mcintyre,(707) 642-6232,5,
97986,Kolton Ibarra,(807) 997-3087,4,
60452,Jakobe Bell,(846) 637-3802,5,
25213,Esmeralda Sellers,(560) 563-2623,6,
81896,Anabelle Stewart,(597) 744-7877,1,
29424,Danika Bridges,(564) 610-7845,3,
93000,Mckenzie Wang,(836) 462-5156,5,
58912,Chad Holden,(959) 315-0845,3,
67713,Margaret Leach,(370) 353-5045,1,
82647,Santiago Lawrence,(759) 248-1139,7,
86477,Janiah Salas,(746) 526-3698,2,
63113,Todd Joseph,(702) 942-2122,3,
58515,Joel Mahoney,(658) 539-9994,8,
12935,Nataly Mcguire,(520) 411-7741,6,
02585,Angelo Turner,(785) 429-0341,7,
46246,Frances Lopez,(457) 279-6926,0,
68071,Jamarion Shaw,(763) 557-7778,9,
41638,Lauryn Gardner,(620) 434-9019,9,
